id;name(название);specialization(специализация);responsibilities(Должностные обязанности);requirements(Требования к соискателю);terms(Условия);notes(Примечания);;;
9493524;Слесарь-Сантехник;Слесарь-сантехник (жилье, питание, проезд);"Для выполнения строительных работ на объекте в г. Новосибирск  Требуются Слесари-сантехники  ___________________________________________________  Мы предлагаем Вам следующие условия:  - 3-х разовое питание (завтрак, обед, ужин);  - Бесплатное проживание в квартирах/домах со всеми удобствами;  - Спецодежда, обувь, СИЗ, инструмент, медкомиссия за счет Работодателя;  - Вахта 60/30, график – 6/1 по 11 часов, только дневные смены;  - Официальное трудоустройство с первого дня работы;  - Служебный автобус;  - Выплаты заработной платы каждые две недели (15 и 30 числа) на банковскую карту.  ___________________________________________________  Обязанности:  - монтаж, установка, настройка, испытание сантехнических систем и коммуникаций,  - устройство канализации, отопления  ______________________________________________  Требование к соискателям:  - Опыт работы от 1 года;  - Ежедневный входной контроль на объекте.  Акция «Приведи друга» – выплатим 3 000 рублей за каждого привлеченного кандидата!";" Опыт работы от 1 года;  - Ежедневный входной контроль на объекте.";"Мы предлагаем Вам следующие условия:  - 3-х разовое питание (завтрак, обед, ужин);  - Бесплатное проживание в квартирах/домах со всеми удобствами;  - Спецодежда, обувь, СИЗ, инструмент, медкомиссия за счет Работодателя;  - Вахта 60/30, график – 6/1 по 11 часов, только дневные смены;  - Официальное трудоустройство с первого дня работы;  - Служебный автобус;  - Выплаты заработной платы каждые две недели (15 и 30 числа) на банковскую карту. ";Акция «Приведи друга» – выплатим 3 000 рублей за каждого привлеченного кандидата!;;;
9493525;Машинист;Машинист гусеничного Мульчера;Обязанности:  Технически правильная эксплуатация вверенного оборудования.  Качественное выполнение поставленной задачи.  Требования:  Опыт работы не менее 3 лет на Мульчере.  Наличие действующего удостоверения по профессии  Добросовестность, порядочность, ответственность.  Условия:  Работа по Татарстану (готовность на вахтовые переезды по Республике Татарстан).  Стабильная и своевременная заработная плата 2 раза в месяц.  Предоставляем Жильё,  Предоставляем спец. одежду,  Командировочные,  Вахтовый метод (20 рабочих дней, 10 дней отдыха).;Опыт работы не менее 3 лет на Мульчере.  Наличие действующего удостоверения по профессии  Добросовестность, порядочность, ответственность.;Работа по Татарстану (готовность на вахтовые переезды по Республике Татарстан).  Стабильная и своевременная заработная плата 2 раза в месяц.  Предоставляем Жильё,  Предоставляем спец. одежду,  Командировочные,  Вахтовый метод (20 рабочих дней, 10 дней отдыха).;;;;
9493527;Машинист Крана (Крановщик);Машинист крана с Д/У с пола (вахта);"Приглашаем сотрудников на вакансию МАШИНИСТ КРАНА С ДИСТАНЦИОННЫМ УПРАВЛЕНИЕМ С ПОЛА на работу вахтовым методом на машиностроительном предприятии в г. Челябинск, Металлургический район.  Компания &quot;Промконсалтинг&quot; надежный прямой работодатель, потому что:  — мы предлагаем оформление по ТК РФ с первого дня работы; — никаких задержек по зарплате, стабильно выплачиваем 2 раза в месяц; — полностью возмещаем затраты на дорогу до вахты/после вахты, возмещаем затраты на медосмотр; — предоставляем комфортное жильё со всем необходимым (квартиры, заселяем по 2 человека в комнату); — вахта 60/30, график 6/1(воскресенье - выходной), дневные и ночные смены (ночные дороже); — предоставляем новую спецодежду и обувь.  Требования:  — опыт работы на кране с ДУ; — продленное удостоверение машиниста крана; — продленное стропальное удостоверение.  Обязанности:  — управление специальной техникой для перемещения крупногабаритных грузов.";"опыт работы на кране с ДУ; — продленное удостоверение машиниста крана; — продленное стропальное удостоверение. ";"мы предлагаем оформление по ТК РФ с первого дня работы; — никаких задержек по зарплате, стабильно выплачиваем 2 раза в месяц; — полностью возмещаем затраты на дорогу до вахты/после вахты, возмещаем затраты на медосмотр; — предоставляем комфортное жильё со всем необходимым (квартиры, заселяем по 2 человека в комнату); — вахта 60/30, график 6/1(воскресенье - выходной), дневные и ночные смены (ночные дороже); — предоставляем новую спецодежду и обувь";Приглашаем сотрудников на вакансию МАШИНИСТ КРАНА С ДИСТАНЦИОННЫМ УПРАВЛЕНИЕМ С ПОЛА на работу вахтовым методом на машиностроительном предприятии в г. Челябинск;;;
9493528;Бетонщик;Бетонщик Вахта;Компания Регро примет на работу бетонщиков. Зарплата 3300 руб/смена. Мы ценим своих сотрудников, поэтому предоставляем им бесплатно проезд, проживание,питание и за всю историю компании ни разу не было задержек по зарплате. Условия: - Официальное трудоустройство по ТК РФ - Спец. одежда предоставляется - Вахта 60/30 - Проживание БЕСПЛАТНО - Бесплатный проезд либо компенсация проезда - Зарплата указана в месяц , за вахту в 2 раза больше Обязанности - выполнение бетонных работ, вязка арматуры Требования: — Опыт работы от года — Отсутствие противопоказаний для работы вахтовым методом — Преимуществом будет опыт работы монтажником жбк , бетонщиком , стропальщиком, сварщиком , газорезчиком, разнорабочим.  Для быстрого отклика звоните нам, пишите в чат или WhаtрАрр! Оставьте ваш номер в чате! Мы перезвоним максимально быстро! ПОКА ВЫ ДУМАЕТЕ, ЛЮДИ УЖЕ НА ВАХТЕ!;Опыт работы от года — Отсутствие противопоказаний для работы вахтовым методом — Преимуществом будет опыт работы монтажником жбк , бетонщиком , стропальщиком, сварщиком , газорезчиком, разнорабочим.;Официальное трудоустройство по ТК РФ - Спец. одежда предоставляется - Вахта 60/30 - Проживание БЕСПЛАТНО - Бесплатный проезд либо компенсация проезда - Зарплата указана в месяц , за вахту в 2 раза больше Обязанности - выполнение бетонных работ, вязка арматуры; Для быстрого отклика звоните нам, пишите в чат или WhаtрАрр! Оставьте ваш номер в чате! Мы перезвоним максимально быстро! ПОКА ВЫ ДУМАЕТЕ, ЛЮДИ УЖЕ НА ВАХТЕ!;;;
9493529;Монтажник;Монтажник металлоконструкций вахта;"Приглашаем на вахту монтажников/сборщиков стеллажей на теплый склад! Можно без опыта! На неограниченную вахту с ПРОЖИВАНИЕМ🔥  💰 Cмена от 3000 до 3400 фикс; 🩺 Медкнижка и вакцинация не требуется! 👔 !!Прямой работодатель!! 🏡 Бесплатное проживание рядом с объектом. 🌍Гражданство РФ, Беларусь. 🔨Очень простая работа (болтовые соединения, без сварки, только крутить гайки). 🏠Адрес: Московская область, Ногинский район, пос. Обухово, тер. Обухово-Парк  ****************************************************************  ✅Мы предлагаем:  - Фиксированную оплату от 3000 до 3400 рублей за смену, без вычетов и удержаний.  - Выплаты каждые две недели на карту;  - Быстрый карьерный рост от монтажника до бригадира;  - БЕСПЛАТНОЕ проживание в комфортном общежитии в со всеми удобствами, особенно все хвалят ортопедические матрасы :)  - БЕСПЛАТНЫЙ трансфер до объекта;  - БЕСПЛАТНУЮ спецодежду и СИЗ;  - Быстрое заселение.  - Работа под крышей в тепле (температура 15-21 градус).  👷‍♂👷‍♀ЧУДЕСНЫЙ дружный коллектив и заботу о каждом сотруднике.  ✅Что нужно делать:  - Сборка стеллажных конструкций;  - Работа с базовыми электроинструментами.  ✅Кого мы хотим видеть:  - Желателен опыт работы монтажником или слесарем-сборщиком, но можно без опыта работы (Бригадир обучает работе с нуля и помогает влиться в коллектив!)  - Гражданство РФ, Беларусь.  *********************************************************************  Вакансия вахта, работа вахтой, работа вахтой без опыта, работа вахтовым методом, монтажник, слесарь сборщик, монтаж металлоконструкций, монтаж стеллажей, работа с проживанием, вахтовый метод, вахта прямой работодатель, работа вакансии, работа вахтой вакансии, вакансии с проживанием, работа вахтой с проживанием, вахта от прямого работодателя, трудоустройство вахта, работа без опыта, вахта без опыта, работа вакансии, заселение сразу, разнорабочий, работа в Москве и Подмосковье вахтовым методом, склад, Москва вахта. Волгоград, Тверь, Егорьевск, Фрязево, Архангельск, Саратов, Обнинск, Клин, Одинцово, Орехово-Зуево, Пушкино, Мытищи, Сергиев посад, Ярославль, Александров, Тамбов, Покров, Дедовск, Тула, Волоколамск, Самара, Смоленск, Воскресенск, Калуга, Нижний Новгород, Ульяновск, Брянск, Ростов-на-дону, Чувашия, Чебоксары, Саранск, Видное, Иваново, Рязань, Белгород, Курск, Софрино, Вязьма, Краснодар, Ульяновск, Тюмень, Башкирия, Воронеж, Можайск, Таганрог, Владимир, Липецк, Череповец, Чапаевск, Тольятти, Рыбинск, Псков, Пермь, Орел, Пенза, Оренбург, Московская область, Москва, Ногинск, Балашиха, Щелково, Шатура, Электросталь, Жуковский, Люберцы, Коломна, Ступино, Кашира, Егорьевск, Электроугли, Серпухов, Покров, Киржач, Кольчугино, Гусь-Хрустальный.";Желателен опыт работы монтажником или слесарем-сборщиком, но можно без опыта работы (Бригадир обучает работе с нуля и помогает влиться в коллектив!)  - Гражданство РФ, Беларусь.;"спецодежду и СИЗ;  - Быстрое заселение.  - Работа под крышей в тепле (температура 15-21 градус).  👷‍♂👷‍♀ЧУДЕСНЫЙ дружный коллектив и заботу о каждом сотруднике.  ✅Что нужно делать:  - Сборка стеллажных конструкций;  - Работа с базовыми электроинструментами.";"Приглашаем на вахту монтажников/сборщиков стеллажей на теплый склад! Можно без опыта! На неограниченную вахту с ПРОЖИВАНИЕМ🔥  💰 Cмена от 3000 до 3400 фикс; 🩺 Медкнижка и вакцинация не требуется! 👔 !!Прямой работодатель!! 🏡 Бесплатное проживание рядом с объектом. 🌍Гражданство РФ, Беларусь. 🔨Очень простая работа (болтовые соединения, без сварки, только крутить гайки). 🏠Адрес: Московская область, Ногинский район, пос. Обухово, тер. Обухово-Парк ";;;
9493530;Бетонщик;Бетонщики В усть-лугу вахта 60/30 96000;"ТРЕБУЮТСЯ БЕТОНЩИКИ В УСТЬ-ЛУГУ  Условия:  - Официальное трудоустройство согласно ТК РФ  - Оплата почасовая  - Своевременные выплаты 2 раза в месяц  - График 7/0  - 10 часовой рабочий день (дневная и ночная смена)  - Бесплатное горячее трёхразовое питание  - Предоставление спец.одежды  - Жильё предоставляется  - Компенсация проезда  Обязанности:  - Вязка арматуры;  - Бетонные работы  - Опалубка  - Строительство морпорта";;Официальное трудоустройство согласно ТК РФ  - Оплата почасовая  - Своевременные выплаты 2 раза в месяц  - График 7/0  - 10 часовой рабочий день (дневная и ночная смена)  - Бесплатное горячее трёхразовое питание  - Предоставление спец.одежды  - Жильё предоставляется  - Компенсация проезда;;;;
9493531;Маляр;Вакансия Маляр на стройку;"Компания &quot;Пик Ремонт&quot; ищет мастера! Вакансия Маляр-шпаклевщик для работы в Москве. Ставка 3000 - 5500+руб., работа 8 часов на объекте.    Требования: - Опыт работы на аналогичной должности - Знание техники безопасности и правил отделки различных поверхностей - Готовность к физическим нагрузкам - Ответственность и пунктуальность - Наличие документов, подтверждающих личность и гражданство РФ  Обязанности: - Малярские и штукатурные работы на стройке - Подготовка рабочих мест для отделки - Соблюдение техники безопасности на объекте  Условия: - Работа на полный рабочий день - Оплата труда без задержек - Возможность карьерного роста и обучения - Работа на объектах в Москве  Если у вас есть опыт работы маляром, штукатуром или шпаклевщиком, и вы готовы работать на стройке в Москве, ЗВОНИТЕ для быстрого ответа, или ПИШИТЕ нам. Мы ждем именно вас! Работа Штукатур, Работа Шпаклевщик, Работа Маляр";Опыт работы на аналогичной должности - Знание техники безопасности и правил отделки различных поверхностей - Готовность к физическим нагрузкам - Ответственность и пунктуальность - Наличие документов, подтверждающих личность и гражданство РФ ;Работа на полный рабочий день - Оплата труда без задержек - Возможность карьерного роста и обучения - Работа на объектах в Москве  Если у вас есть опыт работы маляром, штукатуром или шпаклевщиком, и вы готовы работать на стройке в Москве, ЗВОНИТЕ для быстрого ответа, или ПИШИТЕ нам. Мы ждем именно вас! Работа Штукатур, Работа Шпаклевщик, Работа Маляр;;;;
9493532;Инженер;Инженер кипиа;"Мы приглашаем на работу &quot;Инженера КИПиА&quot;  Обязанности:  — Обеспечение бесперебойной работы контрольно-измерительных приборов и автоматики. — Ведение технической и административной документации — Ведение документации по части КИПиА (тех. документация, составление графиков ТО/ППР разработка инструкций, положений, регламентов, технических заданий) — Проведение ПНР, ТО — Оперативное устранение неисправностей. — Настройка/наладка оборудования КИПиА — Работа с проектной документацией — Создание технических заданий для проведения модернизации оборудования КИПиА.  Требования:  — Высшее профессиональное образование. — Опыт работы не менее 1 года.  Условия:  — Работа в крупной, стабильной компании с численностью персонала 10 000 сотрудников; — Рабочее место: Краснодарский край, Темрюкский район, поселок Волна; — Социальный пакет (оплачиваемые отпуска и больничные листы). — Корпоративный транспорт с населенных пунктов Новороссийск, Анапа, Керчь, Темрюк. — Предоставляется спецодежда, столовая (компенсация питания). — Вакансия на время декретного отпуска — Заработная плата 2 раза в месяц. — График рабы: 5/2 — Прохождение медицинской комиссии при трудоустройстве за счет работодателя.";Высшее профессиональное образование. — Опыт работы не менее 1 года.;"Работа в крупной, стабильной компании с численностью персонала 10 000 сотрудников; — Рабочее место: Краснодарский край, Темрюкский район, поселок Волна; — Социальный пакет (оплачиваемые отпуска и больничные листы). — Корпоративный транспорт с населенных пунктов Новороссийск, Анапа, Керчь, Темрюк. — Предоставляется спецодежда, столовая (компенсация питания). — Вакансия на время декретного отпуска — Заработная плата 2 раза в месяц. — График рабы: 5/2 — Прохождение медицинской комиссии при трудоустройстве за счет работодателя.";;;;
9493533;Штукатур;Штукатур маляр вахта в Мариуполе;Для работы в Донецке требуются штукатуры маляры (с опытом работы и удостоверением) на вахту с проживанием и питанием.  Вахта 60/30, смена с 8.00 до 20.00 с перерывом на обед  Предоставляем:  Бесплатное проживание  3-разовое питание за счет компании  Аванс два раза в месяц  Суточные 6000 рублей каждую неделю  Спецодежда  Проезд  Медосмотр;(с опытом работы и удостоверением) на вахту с проживанием и питанием. ;Вахта 60/30, смена с 8.00 до 20.00 с перерывом на обед  Предоставляем:  Бесплатное проживание  3-разовое питание за счет компании  Аванс два раза в месяц  Суточные 6000 рублей каждую неделю  Спецодежда  Проезд  Медосмотр;;;;
9493534;Машинист Крана (Крановщик);Машинист пневмоколесного крана;"Обязанности:  — погрузка/выгрузка материалов; — монтаж/демонтаж дорожной плиты.  Требования:  — наличие удостоверения машиниста-тракториста категории Д; — свидетельство об обучении на машиниста пневмоколесного крана 6 разряда; — опыт работы от 3х лет.  Условия:  — Объект: г. Новый Уренгой. — Проживание в вахтовом городке БЕСПЛАТНО. — Предоставляется БЕСПЛАТНАЯ спецодежда. — Официальное трудоустройство. — Авансирование 15 и 30 числа каждого месяца до 7000 рублей. — Компенсация затрат на проезд. — Вахта 60/30. — Обеспечение безопасности труда. — Бесплатное 3-х разовое питание. — Медосмотр на объекте бесплатно! — Карьерный рост.  Актуально для машинистов экскаватора, автореферата, водителей самосвала ";"наличие удостоверения машиниста-тракториста категории Д; — свидетельство об обучении на машиниста пневмоколесного крана 6 разряда; — опыт работы от 3х лет.";Объект: г. Новый Уренгой. — Проживание в вахтовом городке БЕСПЛАТНО. — Предоставляется БЕСПЛАТНАЯ спецодежда. — Официальное трудоустройство. — Авансирование 15 и 30 числа каждого месяца до 7000 рублей. — Компенсация затрат на проезд. — Вахта 60/30. — Обеспечение безопасности труда. — Бесплатное 3-х разовое питание. — Медосмотр на объекте бесплатно! — Карьерный рост.;;;;
9493535;Штукатур;Штукатур маляр;!!Срочная вакансия!! Отправление на следующей неделе.  г. Донецк  от 5 разряда Строительство и реконструкция объектов социального назначения: поликлиники, школы, детские сады и многоквартирные дома  ТРЕБОВАНИЯ:  -Удостоверение или опыт работы по трудовой.  -Готовность работать вахтовым методом.  -Желание работать и зарабатывать.  ДОКУМЕНТЫ:  - удостоверение или трудовая книжка  УСЛОВИЯ: -Белая заработная плата  -График вахты 60/30  -Официальное трудоустройство по ТК РФ с 1-го дня работы.  -Своевременная выплата заработной платы  -Бесплатное проживание в общежитии.  -Бесплатное 3-х разовое питание в столовой  -Проезд полностью за счет Работодателя  -Бесплатно предоставляем спецодежду, обувь, СИЗ  -Медицинская комиссия за счет Работодателя  -Обучение с выдачей документа при наличии опыта по специальности.  -Оплата междувахтового отдыха. от 7 до 14 дней - 13000 руб., от 15 до 22 дней - 11 000 руб., от 23 до 30 дней - 8000 руб.;Удостоверение или опыт работы по трудовой.  -Готовность работать вахтовым методом.  -Желание работать и зарабатывать.  ДОКУМЕНТЫ:  - удостоверение или трудовая книжка;Белая заработная плата  -График вахты 60/30  -Официальное трудоустройство по ТК РФ с 1-го дня работы.  -Своевременная выплата заработной платы  -Бесплатное проживание в общежитии.  -Бесплатное 3-х разовое питание в столовой  -Проезд полностью за счет Работодателя  -Бесплатно предоставляем спецодежду, обувь, СИЗ  -Медицинская комиссия за счет Работодателя  -Обучение с выдачей документа при наличии опыта по специальности.  -Оплата междувахтового отдыха. от 7 до 14 дней - 13000 руб., от 15 до 22 дней - 11 000 руб., от 23 до 30 дней - 8000 руб.;;;;
9493537;Слесарь-Ремонтник;Слесарь по ремонту оборудования;"Капитальный ремонт, сборка, наладка сложного оборудования; Испытание, регулировка и сдача после ремонта;  ремонт(механика, гидравлика)  оплата 340/час дневные смены, на 20%больше ночные. жилье квартиры, вахта 60/30.";; оплата 340/час дневные смены, на 20%больше ночные. жилье квартиры, вахта 60/30.;;;;
9493545;Инженер;Инженер эколог;Компания Окское — крупнейший производитель пищевого куриного яйца в Рязанской области. Лидер птицеводческой отрасли по качеству продукции и удовлетворенности потребителей. Компания 50 лет на рынке, 6 обособленных подразделений, штат - более 900 сотрудников. Мы постоянно развиваемся и стремимся к лучшему.  Обязанности:  — Организация и контроль вывоза производственных отходов   — Разработка локальных нормативных актов в области экологической безопасности, организация производственного экологического контроля на источниках выбросов   — Экологическая отчетность  Требования:  — Высшее образование   — Умение работать в режиме многозадачности  Условия:  - График работы 5/2 с 08.00 до 16.30 - Премии за рац. предложения по улучшению - Премии к праздникам - Обучения за счёт организации - Тренажерный зал для сотрудников на территории п.Окский - Дружный коллектив - Возможность карьерного роста - Оформление ТК РФ - Спецодежда для нового сотрудника - Материальная система поощрения KPI ежемесячно  Данная вакансия открыта в п.Окский  Звонить в рабочее время с понедельника по пятницу с 8:00 до 16:30;Высшее образование   — Умение работать в режиме многозадачности ;График работы 5/2 с 08.00 до 16.30 - Премии за рац. предложения по улучшению - Премии к праздникам - Обучения за счёт организации - Тренажерный зал для сотрудников на территории п.Окский - Дружный коллектив - Возможность карьерного роста - Оформление ТК РФ - Спецодежда для нового сотрудника - Материальная система поощрения KPI ежемесячно ;Данная вакансия открыта в п.Окский  Звонить в рабочее время с понедельника по пятницу с 8:00 до 16:30;;;
9493546;Маляр;Маляр на вахту с жильем;"ВАХТА Маляр на вахту с жильем Требуется Маляр на Крупнейший оборонный завод в Курганской области.  📞ЗВОНИТЕ - И ПОЛУЧИТЕ САМЫЕ ЛУЧШИЕ УСЛОВИЯ  УСЛОВИЯ:                               Продолжительность вахты: Вахтовый метод 60/30 (2 месяца работы, 1 месяц отдыха)                                График работы: Шестидневная рабочая неделя по 12 часов (с учетом обеда), также можно работать по графику 7*0                                 Авансы: 15 и 30 числа каждого месяца по 5 000 рублей работнику на карту Тинькофф или Альфабанк  ПРЕДОСТАВЛЯЕМ:                                     Спецодежда: Предоставляем бесплатно одежда+обувь (на первое время необходимо брать свою). Проживание: Проживание в квартирах со всеми удобствами                                  Питание: Питание за свой счет. Есть возможность питаться в заводской столовой    Оформление: Строго только официальное оформление по ТК с записью в трудовой книжке                                  Документы для трудоустройства: Паспорт, ИНН, СНИЛС, трудовая книжка (если есть), военный билет (если есть), дипломы об окончании учебного заведения по специальности  ОБЯЗАННОСТИ: - Покраска металлических деталий.  ТРЕБОВАНИЯ:  - Опыт работы от 1 года! - Умение красить. - Навыки чтения чертежей.  АКЦИЯ для работников: В нашей компании действует акция &quot;&quot;ПРИВЕДИ ДРУГА&quot;&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10-15 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!              Мы ждем соискателя на должность: «Маляр на вахту с жильем»: Код вакансии: c-8950 Имя менеджера: Авдей Мы выдаем: Рабочую куртку Модель рабочей одежды:Пенсильвания-91  Хотите узнать подробнее условия трудоустройства – ЗВОНИТЕ и ПИШИТЕ нам, все расскажем подробно, и подберем подходящую работу! Посмотрите другие наши вакансии в профиле – набираем большой штат  Как еще можно найти работу: бригада маляров, бригада маляров красит, бригада маляров красит забор, маляр, маляр вакансии, работа маляром, работа штукатур маляр, штукатур маляр";Опыт работы от 1 года! - Умение красить. - Навыки чтения чертежей.  АКЦИЯ для работников;Вахтовый метод 60/30 (2 месяца работы, 1 месяц отдыха)                                График работы: Шестидневная рабочая неделя по 12 часов (с учетом обеда), также можно работать по графику 7*0                                 Авансы: 15 и 30 числа каждого месяца по 5 000 рублей работнику на карту Тинькофф или Альфабанк  ПРЕДОСТАВЛЯЕМ:                                     Спецодежда: Предоставляем бесплатно одежда+обувь (на первое время необходимо брать свою). Проживание: Проживание в квартирах со всеми удобствами                                  Питание: Питание за свой счет. Есть возможность питаться в заводской столовой    Оформление: Строго только официальное оформление по ТК с записью в трудовой книжке                             ;" АКЦИЯ для работников: В нашей компании действует акция &quot;&quot;ПРИВЕДИ ДРУГА&quot;&quot;, премия 4000 руб (если вы приезжаете с другом на вакансию и он отрабатывает не менее 10-15 смен). Можете сообщить знакомым и друзьям, о наборе специалистов в нашу компанию!              Мы ждем соискателя на должность: «Маляр на вахту с жильем»: Код вакансии: c-8950 Имя менеджера: Авдей Мы выдаем: Рабочую куртку Модель рабочей одежды:Пенсильвания-91  Хотите узнать подробнее условия трудоустройства – ЗВОНИТЕ и ПИШИТЕ нам, все расскажем подробно, и подберем подходящую работу!";;;
9493547;Маляр;Вахта Маляр металлоконструкций с проживанием;"Прямой работодатель. Проезд, проживание, питание. Требуется Маляр металлоконструкций.  Вахта 60/30   Условия: - Официальное трудоустройство, соц. пакет  - Мы прямой работодатель и не берем денег за трудоустройство.  - Медкомиссия за счет работодателя  - Выплаты з/п 2 раза в месяц на карту без задержек  - Выдача спецодежды; - Работа вахтовым методом: 60/30 дней и тд. на ваш выбор.  - Бесплатные обеды  - Бесплатное проживание, заселение в день приезда   Обязанности: - Аккуртаная работа  - Работать с многокомпонентной краской  Требования: - Умение работать с многокомпонентной краской  - Минимальный опыт  В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot; , премия 4000 руб  Мы ждем соискателя на должность:  «Маляр с минимальным опытом» : Код вакансии: O4128764727338 Имя менеджера: Надежда Мы выдаем: Рабочая спецодежда Модель рабочей одежды:л20-КБР";Маляр металлоконструкций.  Вахта 60/30;"Официальное трудоустройство, соц. пакет  - Мы прямой работодатель и не берем денег за трудоустройство.  - Медкомиссия за счет работодателя  - Выплаты з/п 2 раза в месяц на карту без задержек  - Выдача спецодежды; - Работа вахтовым методом: 60/30 дней и тд. на ваш выбор.  - Бесплатные обеды  - Бесплатное проживание, заселение в день приезда";"В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot; , премия 4000 руб  Мы ждем соискателя на должность:  «Маляр с минимальным опытом»";;;
9493549;Монтажник;Монтажник тт;"Описание работодателя: Требования: Обязанности:&quot;ТРЕБУЕТСЯ ⚡г.Москва (Обьект Газпром)  Стабильная работа для тех, кто ценит надежность! ✅Монтажники ТТ- от 100 000-110 000р/мес.  ✅ Условия работы : - Официальное трудоустройство по трудовому законодательству - Заработная плата переводится на банковскую карту (которую укажете). - Предоставляется компенсация питания. - Проживание в хостеле . - Выдаем спецодежду и СИЗы . (после отработанной вахты остается с вами) - Билеты приобретаем. «Нашими руками создается мир» Условия:";г.Москва (Обьект Газпром)  Стабильная работа для тех, кто ценит надежность! ✅Монтажники ТТ- от 100 000-110 000р/мес.;Предоставляется компенсация питания. - Проживание в хостеле . - Выдаем спецодежду и СИЗы . (после отработанной вахты остается с вами) - Билеты приобретаем. «Нашими руками создается мир»;;;;
9493553;Маляр;Вахта Маляр металлоконструкций с питанием;"Вахта 60/30  Прямой работодатель. Проезд, проживание, питание. Требуется Маляр металлоконструкций.   Условия: - Бесплатное проживание, заселение в день приезда  - Выдача спецодежды; - Бесплатные обеды  - Выплаты з/п 2 раза в месяц на карту без задержек  - Работа вахтовым методом: 60/30 дней и тд. на ваш выбор.  - Официальное трудоустройство, соц. пакет  - Медкомиссия за счет работодателя  - Мы прямой работодатель и не берем денег за трудоустройство.   Обязанности: - Аккуртаная работа  - Работать с многокомпонентной краской  Требования: - Минимальный опыт - Умение работать с многокомпонентной краской   В нашей компании действует акция &quot;ПРИВЕДИ ДРУГА&quot; , премия 4000 руб  Мы ждем соискателя на должность: «Маляр» : Код вакансии: M6371926453485 Имя менеджера: Дарья Мы выдаем: Роба Модель рабочей одежды:л10-КБР";Минимальный опыт - Умение работать с многокомпонентной краской   В нашей компании действует;" Бесплатное проживание, заселение в день приезда  - Выдача спецодежды; - Бесплатные обеды  - Выплаты з/п 2 раза в месяц на карту без задержек  - Работа вахтовым методом: 60/30 дней и тд. на ваш выбор.  - Официальное трудоустройство, соц. пакет  - Медкомиссия за счет работодателя  - Мы прямой работодатель и не берем денег за трудоустройство.";"ПРИВЕДИ ДРУГА&quot; , премия 4000 руб  Мы ждем соискателя на должность: «Маляр» : Код вакансии: M6371926453485 Имя менеджера: Дарья Мы выдаем: Роба Модель рабочей одежды:л10-КБР";;;
